0000	@
0001	1
0002	2
0003	3
0004	4
0005	5
0006	6
0007	7
0008	8
0009	9
0010	
0011	11
0012	
0013	
0014	
0015	
0016	
0017	
0018	
0019	
0020	2
0021	
0022	
0023	
0024	
0025	
0026	
0027	
0028	
0029	
0030	
0031	
0032	
0033	
0034	
0035	
0036	
0037	
0038	
0039	
0040	
0041	
0042	
0043	
0044	
0045	
0046	
0047	
0048	
0049	
0050	5
0051	
0052	
0053	
0054	
0055	
0056	
0057	
0058	
0059	
0060	6À
0061	
0062	
0063	
0064	
0065	
0066	
0067	
0068	
0069	
0070	
0071	
0072	
0073	
0074	
0075	
0076	
0077	
0078	
0079	
0080	8À
0081	
0082	
0084	
0085	
0086	
0087	
0088	
0089	
0090	
0091	
0092	
0093	
0094	
0095	
0096	
0097	
0098	
0099	
0100	1
0101	
0102	
0103	
0104	
0105	
0106	
0107	
0108	
0109	
0110	
0114	
0115	
0116	
0123	
0131	
0139	
0141	
0142	
0146	
0150	
0151	
0152	
0155	
0166	
0174	
0199	
0200	2
0201	
0202	
0203	
0204	211Ñ
0205	216Ñ
0206	213Ñ
0207	209Ñ
0208	208Ñ
0209	201Ñ
0210	208Ñ
0211	205Ñ
0212	202Ñ
0213	204Ñ
0214	207Ñ
0215	210Ñ
0216	212Ñ
0217	214Ñ
0218	218Ñ
0219	219Ñ
0221	
0222	
0227	
0228	
0229	
0230	
0234	
0235	
0236	
0241	
0244	
0248	
0249	
0251	
0261	
0263	
0266	
0268	
0269	
0271	
0273	
0275	
0276	
0279	
0280	
0282	
0283	
0284	
0285	
0286	
0288	
0299	
0300	
0301	
0302	
0303	211Ñ
0304	216Ñ
0305	213Ñ
0306	209Ñ
0307	215Ñ
0308	201Ñ
0309	208Ñ
0310	205Ñ
0311	202Ñ
0312	204Ñ
0313	207Ñ
0314	210Ñ
0315	212Ñ
0316	
0317	1
0318	218Ñ
0319	214Ñ
0320	1
0329	
0338	
0341	
0346	
0348	
0361	
0381	
0386	
0392	
0393	
0396	
0398	
0400	
0408	
0409	
0410	
0413	
0415	
0416	
0417	
0419	
0420	
0421	
0422	
0423	
0424	
0425	
0426	
0429	
0448	
0480	
0481	
0486	
0490	
0496	
0499	
0503	
0505	
0507	
0508	
0509	
0513	
0514	
0515	
0530	
0531	
0552	
0558	
0568	
0576	
0583	
0584	
0589	
0598	
0600	
0601	
0602	
0603	211Ñ
0604	216Ñ
0605	213Ñ
0606	209Ñ
0607	215Ñ
0608	201Ñ
0609	208Ñ
0610	205Ñ
0611	202Ñ
0612	204Ñ
0613	207Ñ
0614	210Ñ
0615	212Ñ
0616	@
0617	1
0618	
0619	214Ñ
0620	1
0621	
0642	
0683	
0698	
0731	
0805	
0831	
0832	
0833	
0847	
0851	
0853	
0854	
0866	
0868	
0906	
0907	
0954	
0990	
0991	
0992	
0993	
0994	
0995	
0999	
